QUERY_KEY,DOC_KEY,RANK
1,NORMA-6949,1
1,NORMA-18845,2
1,NORMA-20037,3
1,NORMA-20246,4
1,NORMA-19903,5
1,NORMA-21107,6
1,NORMA-19980,7
1,NORMA-18212,8
1,NORMA-19582,9
1,NORMA-21235,10
1,NORMA-19978,11
1,NORMA-20064,12
1,NORMA-21359,13
1,NORMA-20957,14
1,NORMA-20249,15
1,NORMA-20425,16
1,NORMA-18892,17
1,NORMA-21105,18
1,NORMA-21519,19
1,NORMA-20065,20
1,NORMA-20854,21
1,NORMA-18546,22
1,NORMA-20184,23
1,NORMA-21754,24
1,NORMA-19730,25
1,NORMA-19609,26
1,NORMA-20916,27
1,NORMA-20869,28
1,NORMA-20631,29
1,NORMA-20422,30
1,NORMA-21650,31
1,NORMA-21621,32
1,NORMA-21432,33
1,NORMA-20072,34
1,NORMA-19604,35
1,NORMA-19613,36
1,NORMA-19963,37
1,NORMA-18646,38
1,NORMA-19977,39
1,NORMA-20809,40
1,NORMA-21260,41
1,NORMA-19919,42
1,NORMA-17182,43
1,NORMA-18678,44
1,NORMA-20535,45
1,NORMA-19630,46
1,NORMA-20950,47
1,NORMA-18974,48
1,NORMA-20082,49
1,NORMA-9834,50
1,NORMA-21501,51
1,NORMA-21613,52
1,NORMA-18937,53
1,NORMA-6185,54
1,NORMA-19964,55
1,NORMA-2413,56
1,NORMA-2,57
1,NORMA-9382,58
1,NORMA-20053,59
1,NORMA-20197,60
1,NORMA-20789,61
1,NORMA-19952,62
1,NORMA-1,63
1,NORMA-535,64
1,NORMA-19593,65
1,NORMA-18885,66
1,NORMA-23521,67
1,NORMA-21019,68
1,NORMA-20659,69
1,NORMA-19568,70
1,NORMA-20287,71
1,NORMA-20156,72
1,NORMA-19594,73
1,NORMA-19803,74
1,NORMA-20435,75
1,NORMA-20849,76
1,NORMA-20507,77
1,NORMA-21752,78
1,NORMA-18936,79
1,NORMA-20448,80
1,NORMA-21364,81
1,NORMA-534,82
1,NORMA-20432,83
1,NORMA-21656,84
1,NORMA-20542,85
1,NORMA-20039,86
1,NORMA-21067,87
1,NORMA-19904,88
1,NORMA-18286,89
1,NORMA-13323,90
1,NORMA-20253,91
1,NORMA-20512,92
1,NORMA-20042,93
1,NORMA-21242,94
1,NORMA-20270,95
1,NORMA-20551,96
1,NORMA-18911,97
1,NORMA-21386,98
1,NORMA-19364,99
1,NORMA-19286,100
1,NORMA-20615,101
