QUERY_KEY,DOC_KEY,RANK
1,NORMA-20037,1
1,NORMA-18845,2
1,NORMA-6949,3
1,NORMA-21107,4
1,NORMA-19582,5
1,NORMA-20246,6
1,NORMA-18212,7
1,NORMA-19903,8
1,NORMA-19980,9
1,NORMA-21235,10
1,NORMA-20064,11
1,NORMA-21519,12
1,NORMA-18892,13
1,NORMA-21359,14
1,NORMA-20854,15
1,NORMA-19978,16
1,NORMA-20425,17
1,NORMA-20065,18
1,NORMA-20249,19
1,NORMA-19609,20
1,NORMA-18546,21
1,NORMA-20869,22
1,NORMA-21650,23
1,NORMA-20957,24
1,NORMA-19730,25
1,NORMA-20631,26
1,NORMA-20422,27
1,NORMA-21754,28
1,NORMA-21105,29
1,NORMA-20184,30
1,NORMA-21621,31
1,NORMA-19977,32
1,NORMA-21432,33
1,NORMA-19613,34
1,NORMA-20072,35
1,NORMA-18646,36
1,NORMA-9834,37
1,NORMA-19604,38
1,NORMA-19963,39
1,NORMA-19919,40
1,NORMA-20916,41
1,NORMA-6185,42
1,NORMA-9382,43
1,NORMA-18678,44
1,NORMA-21260,45
1,NORMA-20809,46
1,NORMA-20053,47
1,NORMA-19964,48
1,NORMA-2413,49
1,NORMA-20197,50
1,NORMA-20950,51
1,NORMA-18885,52
1,NORMA-19593,53
1,NORMA-23521,54
1,NORMA-17182,55
1,NORMA-18974,56
1,NORMA-19568,57
1,NORMA-19594,58
1,NORMA-18936,59
1,NORMA-20082,60
1,NORMA-18937,61
1,NORMA-20789,62
1,NORMA-19630,63
1,NORMA-2,64
1,NORMA-21217,65
1,NORMA-20432,66
1,NORMA-21501,67
1,NORMA-20042,68
1,NORMA-21613,69
1,NORMA-29005,70
1,NORMA-1,71
1,NORMA-19574,72
1,NORMA-20535,73
1,NORMA-18911,74
1,NORMA-20615,75
1,NORMA-21752,76
1,NORMA-13323,77
1,NORMA-19764,78
1,NORMA-20448,79
1,NORMA-11655,80
1,NORMA-535,81
1,NORMA-14239,82
1,NORMA-20619,83
1,NORMA-19178,84
1,NORMA-19945,85
1,NORMA-20435,86
1,NORMA-19952,87
1,NORMA-18286,88
1,NORMA-19953,89
1,NORMA-19904,90
1,NORMA-20849,91
1,NORMA-19803,92
1,NORMA-21019,93
1,NORMA-19793,94
1,NORMA-15237,95
1,NORMA-21779,96
1,NORMA-20989,97
1,NORMA-20623,98
1,NORMA-19752,99
1,NORMA-19883,100
1,NORMA-19650,101
1,NORMA-18430,102
1,NORMA-18747,103
1,NORMA-18909,104
1,NORMA-20183,105
1,NORMA-20659,106
1,NORMA-20253,107
