QUERY_KEY,DOC_KEY,RANK
1,NORMA-18845,1
1,NORMA-20037,2
1,NORMA-6949,3
1,NORMA-21107,4
1,NORMA-19582,5
1,NORMA-18212,6
1,NORMA-20246,7
1,NORMA-19903,8
1,NORMA-21235,9
1,NORMA-19980,10
1,NORMA-21519,11
1,NORMA-20064,12
1,NORMA-21359,13
1,NORMA-20854,14
1,NORMA-19978,15
1,NORMA-20425,16
1,NORMA-20065,17
1,NORMA-20249,18
1,NORMA-19609,19
1,NORMA-20869,20
1,NORMA-21650,21
1,NORMA-20957,22
1,NORMA-19730,23
1,NORMA-20184,24
1,NORMA-18892,25
1,NORMA-20422,26
1,NORMA-21105,27
1,NORMA-19977,28
1,NORMA-18546,29
1,NORMA-20072,30
1,NORMA-18646,31
1,NORMA-19919,32
1,NORMA-20916,33
1,NORMA-20631,34
1,NORMA-9834,35
1,NORMA-6185,36
1,NORMA-21754,37
1,NORMA-21260,38
1,NORMA-9382,39
1,NORMA-21621,40
1,NORMA-21432,41
1,NORMA-20809,42
1,NORMA-2413,43
1,NORMA-19613,44
1,NORMA-20197,45
1,NORMA-20950,46
1,NORMA-19963,47
1,NORMA-17182,48
1,NORMA-19593,49
1,NORMA-19604,50
1,NORMA-23521,51
1,NORMA-18974,52
1,NORMA-20082,53
1,NORMA-18678,54
1,NORMA-18937,55
1,NORMA-20789,56
1,NORMA-19630,57
1,NORMA-2,58
1,NORMA-21501,59
1,NORMA-20432,60
1,NORMA-21613,61
1,NORMA-1,62
1,NORMA-20535,63
1,NORMA-21217,64
1,NORMA-21752,65
1,NORMA-20053,66
1,NORMA-19574,67
1,NORMA-13323,68
1,NORMA-19964,69
1,NORMA-20448,70
1,NORMA-535,71
1,NORMA-18885,72
1,NORMA-19952,73
1,NORMA-20435,74
1,NORMA-18286,75
1,NORMA-19904,76
1,NORMA-20849,77
1,NORMA-21019,78
1,NORMA-29005,79
1,NORMA-19803,80
1,NORMA-20989,81
1,NORMA-19650,82
1,NORMA-19883,83
1,NORMA-18747,84
1,NORMA-11655,85
1,NORMA-18430,86
1,NORMA-20659,87
1,NORMA-14239,88
1,NORMA-19568,89
1,NORMA-20183,90
1,NORMA-20039,91
1,NORMA-20287,92
1,NORMA-21386,93
1,NORMA-20156,94
1,NORMA-19594,95
1,NORMA-20542,96
1,NORMA-20192,97
1,NORMA-21656,98
1,NORMA-20507,99
1,NORMA-18936,100
1,NORMA-20253,101
1,NORMA-18958,102
1,NORMA-19174,103
1,NORMA-21364,104
1,NORMA-534,105
1,NORMA-21249,106
1,NORMA-20831,107
1,NORMA-21242,108
1,NORMA-15237,109
1,NORMA-21220,110
1,NORMA-1613,111
1,NORMA-21067,112
1,NORMA-20270,113
1,NORMA-18724,114
1,NORMA-20551,115
1,NORMA-20309,116
1,NORMA-20744,117
1,NORMA-20966,118
1,NORMA-20209,119
1,NORMA-20512,120
1,NORMA-20615,121
1,NORMA-21537,122
1,NORMA-19724,123
1,NORMA-20423,124
1,NORMA-21188,125
1,NORMA-21371,126
1,NORMA-18818,127
1,NORMA-20042,128
1,NORMA-18911,129
1,NORMA-21228,130
1,NORMA-20428,131
1,NORMA-21023,132
1,NORMA-19364,133
1,NORMA-19286,134
1,NORMA-20531,135
1,NORMA-27521,136
1,NORMA-19764,137
1,NORMA-20487,138
1,NORMA-20619,139
1,NORMA-21523,140
1,NORMA-19955,141
1,NORMA-15581,142
1,NORMA-20513,143
1,NORMA-20514,144
1,NORMA-20756,145
1,NORMA-19178,146
1,NORMA-20480,147
1,NORMA-19945,148
1,NORMA-20366,149
1,NORMA-20070,150
1,NORMA-19953,151
1,NORMA-19787,152
1,NORMA-19798,153
1,NORMA-21239,154
1,NORMA-19051,155
1,NORMA-19793,156
1,NORMA-20374,157
1,NORMA-19581,158
1,NORMA-21437,159
1,NORMA-20007,160
1,NORMA-20494,161
1,NORMA-20623,162
1,NORMA-19164,163
1,NORMA-21705,164
1,NORMA-19578,165
1,NORMA-21310,166
1,NORMA-19747,167
1,NORMA-20808,168
1,NORMA-19249,169
1,NORMA-20382,170
1,NORMA-21779,171
1,NORMA-21624,172
1,NORMA-19752,173
1,NORMA-20424,174
1,NORMA-20185,175
1,NORMA-18909,176
1,NORMA-18312,177
1,NORMA-18850,178
1,NORMA-18480,179
1,NORMA-18664,180
1,NORMA-18786,181
1,NORMA-18717,182
1,NORMA-21117,183
1,NORMA-18511,184
1,NORMA-18509,185
1,NORMA-18597,186
1,NORMA-19044,187
1,NORMA-21254,188
1,NORMA-19040,189
1,NORMA-19711,190
1,NORMA-19755,191
1,NORMA-18523,192
1,NORMA-19933,193
1,NORMA-20290,194
1,NORMA-31923,195
1,NORMA-20556,196
1,NORMA-19386,197
1,NORMA-20716,198
1,NORMA-18891,199
1,NORMA-19668,200
1,NORMA-21300,201
1,NORMA-19591,202
1,NORMA-18894,203
1,NORMA-19797,204
1,NORMA-18913,205
1,NORMA-18461,206
1,NORMA-18394,207
1,NORMA-21784,208
1,NORMA-20515,209
1,NORMA-20780,210
1,NORMA-1173,211
1,NORMA-20188,212
1,NORMA-19761,213
1,NORMA-21229,214
1,NORMA-19155,215
1,NORMA-13298,216
1,NORMA-20322,217
1,NORMA-19800,218
1,NORMA-19767,219
1,NORMA-20987,220
1,NORMA-20559,221
1,NORMA-21496,222
1,NORMA-18908,223
1,NORMA-7208,224
1,NORMA-1573,225
1,NORMA-19879,226
1,NORMA-1026,227
1,NORMA-13902,228
1,NORMA-20055,229
1,NORMA-20796,230
1,NORMA-19190,231
1,NORMA-20257,232
1,NORMA-21305,233
1,NORMA-20198,234
1,NORMA-21600,235
1,NORMA-21210,236
1,NORMA-18536,237
1,NORMA-19119,238
1,NORMA-20501,239
1,NORMA-25261,240
1,NORMA-21394,241
1,NORMA-20571,242
1,NORMA-21552,243
1,NORMA-21769,244
1,NORMA-19056,245
1,NORMA-20602,246
1,NORMA-21316,247
1,NORMA-19876,248
1,NORMA-19629,249
1,NORMA-21232,250
1,NORMA-21390,251
1,NORMA-21224,252
1,NORMA-19028,253
1,NORMA-21776,254
1,NORMA-11615,255
1,NORMA-21384,256
1,NORMA-19221,257
1,NORMA-21382,258
1,NORMA-19583,259
1,NORMA-21288,260
1,NORMA-18916,261
1,NORMA-30043,262
1,NORMA-18796,263
1,NORMA-19891,264
1,NORMA-21237,265
1,NORMA-19694,266
1,NORMA-21126,267
1,NORMA-20206,268
1,NORMA-20569,269
1,NORMA-21192,270
1,NORMA-21756,271
1,NORMA-20050,272
1,NORMA-21211,273
1,NORMA-21395,274
1,NORMA-19706,275
1,NORMA-18957,276
1,NORMA-15901,277
1,NORMA-20802,278
1,NORMA-18707,279
1,NORMA-20077,280
1,NORMA-380,281
1,NORMA-20407,282
1,NORMA-19715,283
1,NORMA-21370,284
1,NORMA-19019,285
1,NORMA-20398,286
1,NORMA-20204,287
1,NORMA-21025,288
1,NORMA-21626,289
1,NORMA-20316,290
1,NORMA-19617,291
1,NORMA-21725,292
1,NORMA-8028,293
1,NORMA-20046,294
1,NORMA-18715,295
1,NORMA-18666,296
1,NORMA-21267,297
1,NORMA-18505,298
1,NORMA-18784,299
1,NORMA-18481,300
1,NORMA-18853,301
1,NORMA-21118,302
1,NORMA-1863,303
1,NORMA-21668,304
1,NORMA-20186,305
1,NORMA-18611,306
1,NORMA-19043,307
1,NORMA-20369,308
1,NORMA-6948,309
1,NORMA-20770,310
1,NORMA-20523,311
1,NORMA-19965,312
1,NORMA-20227,313
1,NORMA-22741,314
1,NORMA-19363,315
1,NORMA-20194,316
1,NORMA-19288,317
1,NORMA-20389,318
1,NORMA-18780,319
1,NORMA-21484,320
