QUERY_KEY,DOC_KEY,RANK
1,NORMA-6949,1
1,NORMA-19903,2
1,NORMA-19747,3
1,NORMA-19980,4
1,NORMA-20064,5
1,NORMA-18546,6
1,NORMA-18892,7
1,NORMA-20156,8
1,NORMA-21754,9
1,NORMA-19752,10
1,NORMA-19978,11
1,NORMA-20246,12
1,NORMA-20535,13
1,NORMA-19604,14
1,NORMA-20957,15
1,NORMA-20042,16
1,NORMA-21105,17
1,NORMA-20659,18
1,NORMA-19964,19
1,NORMA-19568,20
1,NORMA-18911,21
1,NORMA-20287,22
1,NORMA-20808,23
1,NORMA-18678,24
1,NORMA-21779,25
1,NORMA-18845,26
1,NORMA-19594,27
1,NORMA-20424,28
1,NORMA-19364,29
1,NORMA-19963,30
1,NORMA-19286,31
1,NORMA-21359,32
1,NORMA-19952,33
1,NORMA-20507,34
1,NORMA-19630,35
1,NORMA-18909,36
1,NORMA-21235,37
1,NORMA-18715,38
1,NORMA-18666,39
1,NORMA-20512,40
1,NORMA-18505,41
1,NORMA-18784,42
1,NORMA-18481,43
1,NORMA-18312,44
1,NORMA-18853,45
1,NORMA-21118,46
1,NORMA-18850,47
1,NORMA-18480,48
1,NORMA-18664,49
1,NORMA-18786,50
2,NORMA-18528,1
2,NORMA-13990,2
2,NORMA-18741,3
2,NORMA-20790,4
2,NORMA-21269,5
2,NORMA-21344,6
2,NORMA-21638,7
2,NORMA-21404,8
2,NORMA-21361,9
2,NORMA-5380,10
2,NORMA-20139,11
2,NORMA-18673,12
2,NORMA-21637,13
2,NORMA-21443,14
2,NORMA-19674,15
2,NORMA-18970,16
2,NORMA-18910,17
2,NORMA-21586,18
2,NORMA-10298,19
2,NORMA-11352,20
2,NORMA-21613,21
2,NORMA-19408,22
2,NORMA-6968,23
2,NORMA-6176,24
2,NORMA-21535,25
2,NORMA-12492,26
2,NORMA-13848,27
2,NORMA-18967,28
2,NORMA-5335,29
2,NORMA-11419,30
2,NORMA-10986,31
2,NORMA-8442,32
2,NORMA-10843,33
2,NORMA-12314,34
2,NORMA-21155,35
2,NORMA-11184,36
2,NORMA-11186,37
2,NORMA-7867,38
2,NORMA-18842,39
2,NORMA-5336,40
2,NORMA-8212,41
2,NORMA-5185,42
2,NORMA-27362,43
2,NORMA-15358,44
2,NORMA-12380,45
2,NORMA-12516,46
2,NORMA-11185,47
2,NORMA-16402,48
2,NORMA-8121,49
2,NORMA-12371,50
3,NORMA-229,1
3,NORMA-18780,2
3,NORMA-1463,3
3,NORMA-560,4
3,NORMA-396,5
3,NORMA-20865,6
3,NORMA-19095,7
3,NORMA-19152,8
3,NORMA-20917,9
3,NORMA-974,10
3,NORMA-18816,11
3,NORMA-21506,12
3,NORMA-772,13
3,NORMA-11664,14
3,NORMA-7279,15
3,NORMA-19387,16
3,NORMA-21175,17
3,NORMA-21367,18
3,NORMA-6249,19
3,NORMA-219,20
3,NORMA-6598,21
3,NORMA-19431,22
3,NORMA-1141,23
3,NORMA-20077,24
3,NORMA-20902,25
3,NORMA-15542,26
3,NORMA-19755,27
3,NORMA-1674,28
3,NORMA-19596,29
3,NORMA-20292,30
3,NORMA-1147,31
3,NORMA-1171,32
3,NORMA-9821,33
3,NORMA-20774,34
3,NORMA-1183,35
3,NORMA-20909,36
3,NORMA-21258,37
3,NORMA-534,38
3,NORMA-19104,39
3,NORMA-18213,40
3,NORMA-12102,41
3,NORMA-27555,42
3,NORMA-21699,43
3,NORMA-20925,44
3,NORMA-27501,45
3,NORMA-19103,46
3,NORMA-19523,47
3,NORMA-18761,48
3,NORMA-21483,49
3,NORMA-972,50
4,NORMA-20223,1
4,NORMA-20704,2
4,NORMA-20730,3
4,NORMA-19689,4
4,NORMA-13797,5
4,NORMA-21065,6
4,NORMA-20058,7
4,NORMA-19942,8
4,NORMA-19927,9
4,NORMA-3503,10
4,NORMA-20890,11
4,NORMA-21575,12
4,NORMA-19583,13
4,NORMA-18748,14
4,NORMA-6184,15
4,NORMA-18626,16
4,NORMA-6685,17
4,NORMA-18972,18
4,NORMA-18670,19
4,NORMA-18682,20
4,NORMA-19629,21
4,NORMA-19526,22
4,NORMA-21390,23
4,NORMA-19691,24
4,NORMA-21203,25
4,NORMA-20295,26
4,NORMA-18427,27
4,NORMA-19429,28
4,NORMA-18243,29
4,NORMA-18391,30
4,NORMA-19518,31
4,NORMA-18916,32
4,NORMA-18668,33
4,NORMA-21361,34
4,NORMA-18653,35
4,NORMA-18769,36
4,NORMA-11664,37
4,NORMA-13298,38
4,NORMA-6253,39
4,NORMA-21638,40
4,NORMA-21666,41
4,NORMA-19515,42
4,NORMA-18286,43
4,NORMA-21649,44
4,NORMA-19909,45
4,NORMA-21149,46
4,NORMA-21269,47
4,NORMA-21404,48
4,NORMA-18405,49
4,NORMA-21064,50
5,NORMA-18255,1
5,NORMA-5252,2
5,NORMA-21369,3
5,NORMA-18270,4
5,NORMA-18386,5
5,NORMA-19295,6
5,NORMA-20630,7
5,NORMA-18722,8
5,NORMA-20225,9
5,NORMA-3942,10
5,NORMA-18418,11
5,NORMA-21606,12
5,NORMA-19330,13
5,NORMA-7390,14
5,NORMA-6488,15
5,NORMA-10749,16
5,NORMA-21444,17
5,NORMA-18697,18
5,NORMA-8814,19
5,NORMA-6268,20
5,NORMA-18807,21
5,NORMA-7392,22
5,NORMA-21547,23
5,NORMA-22861,24
5,NORMA-20670,25
5,NORMA-27063,26
5,NORMA-19361,27
5,NORMA-18802,28
5,NORMA-4318,29
5,NORMA-18450,30
5,NORMA-4182,31
5,NORMA-20389,32
5,NORMA-19158,33
5,NORMA-21616,34
