QUERY_KEY,DOC_KEY,RANK
1,NORMA-19903,1
1,NORMA-19747,2
1,NORMA-19594,3
1,NORMA-18546,4
1,NORMA-18892,5
1,NORMA-19568,6
1,NORMA-19980,7
1,NORMA-19604,8
1,NORMA-20064,9
1,NORMA-20957,10
1,NORMA-20156,11
1,NORMA-19978,12
1,NORMA-18911,13
1,NORMA-20808,14
1,NORMA-21105,15
1,NORMA-20512,16
1,NORMA-20535,17
1,NORMA-20246,18
1,NORMA-19963,19
1,NORMA-20042,20
1,NORMA-18715,21
1,NORMA-18784,22
1,NORMA-6949,23
1,NORMA-18666,24
1,NORMA-18481,25
1,NORMA-21754,26
1,NORMA-19964,27
1,NORMA-18505,28
1,NORMA-21118,29
1,NORMA-18678,30
1,NORMA-18853,31
1,NORMA-20287,32
1,NORMA-18909,33
1,NORMA-19752,34
1,NORMA-21779,35
1,NORMA-19630,36
1,NORMA-21235,37
1,NORMA-20659,38
1,NORMA-18845,39
1,NORMA-20424,40
1,NORMA-19364,41
1,NORMA-19286,42
1,NORMA-21359,43
1,NORMA-19952,44
1,NORMA-20507,45
1,NORMA-18312,46
1,NORMA-18850,47
1,NORMA-18480,48
1,NORMA-18664,49
1,NORMA-18786,50
2,NORMA-18910,1
2,NORMA-18741,2
2,NORMA-18673,3
2,NORMA-13990,4
2,NORMA-21344,5
2,NORMA-18528,6
2,NORMA-20790,7
2,NORMA-10298,8
2,NORMA-6968,9
2,NORMA-16402,10
2,NORMA-5380,11
2,NORMA-6176,12
2,NORMA-21535,13
2,NORMA-21586,14
2,NORMA-21638,15
2,NORMA-20139,16
2,NORMA-21269,17
2,NORMA-21443,18
2,NORMA-21155,19
2,NORMA-21637,20
2,NORMA-18970,21
2,NORMA-12314,22
2,NORMA-19674,23
2,NORMA-19408,24
2,NORMA-12492,25
2,NORMA-21613,26
2,NORMA-13848,27
2,NORMA-18967,28
2,NORMA-5335,29
2,NORMA-11419,30
2,NORMA-10986,31
2,NORMA-8442,32
2,NORMA-21361,33
2,NORMA-10843,34
2,NORMA-11352,35
2,NORMA-11184,36
2,NORMA-21404,37
2,NORMA-11186,38
2,NORMA-7867,39
