QUERY_KEY,DOC_KEY,RANK
1,NORMA-19747,1
1,NORMA-19903,2
1,NORMA-20127,3
1,NORMA-20253,4
1,NORMA-18943,5
1,NORMA-18913,6
1,NORMA-19764,7
1,NORMA-18954,8
1,NORMA-19953,9
1,NORMA-21754,10
1,NORMA-19793,11
1,NORMA-20623,12
1,NORMA-20265,13
1,NORMA-19767,14
1,NORMA-18885,15
1,NORMA-20721,16
1,NORMA-18952,17
1,NORMA-18891,18
1,NORMA-19613,19
1,NORMA-19604,20
1,NORMA-19178,21
1,NORMA-18908,22
1,NORMA-21621,23
1,NORMA-20112,24
1,NORMA-19740,25
1,NORMA-18892,26
1,NORMA-18894,27
1,NORMA-20239,28
1,NORMA-19980,29
1,NORMA-20092,30
1,NORMA-20064,31
1,NORMA-20070,32
1,NORMA-20808,33
1,NORMA-19761,34
1,NORMA-19578,35
1,NORMA-18953,36
1,NORMA-20093,37
1,NORMA-20100,38
1,NORMA-19594,39
1,NORMA-19876,40
1,NORMA-20512,41
1,NORMA-20146,42
1,NORMA-18909,43
1,NORMA-20238,44
1,NORMA-20156,45
1,NORMA-20214,46
1,NORMA-20110,47
1,NORMA-20105,48
1,NORMA-20241,49
1,NORMA-19965,50
1,NORMA-19601,51
1,NORMA-19929,52
1,NORMA-19963,53
1,NORMA-20099,54
1,NORMA-20535,55
1,NORMA-19978,56
1,NORMA-18936,57
1,NORMA-21192,58
1,NORMA-20106,59
1,NORMA-21489,60
1,NORMA-20619,61
1,NORMA-18911,62
1,NORMA-20561,63
1,NORMA-19571,64
1,NORMA-20107,65
1,NORMA-20857,66
1,NORMA-18899,67
1,NORMA-20180,68
1,NORMA-20096,69
1,NORMA-18546,70
1,NORMA-20053,71
1,NORMA-19819,72
1,NORMA-20103,73
1,NORMA-21029,74
1,NORMA-19752,75
1,NORMA-18337,76
1,NORMA-20104,77
1,NORMA-20072,78
1,NORMA-19948,79
1,NORMA-20604,80
1,NORMA-21242,81
1,NORMA-19584,82
1,NORMA-19568,83
1,NORMA-1366,84
1,NORMA-20770,85
1,NORMA-6949,86
1,NORMA-20758,87
1,NORMA-20934,88
1,NORMA-20145,89
1,NORMA-20828,90
1,NORMA-19984,91
1,NORMA-18924,92
1,NORMA-17182,93
1,NORMA-18945,94
1,NORMA-19798,95
1,NORMA-19964,96
1,NORMA-19602,97
1,NORMA-20856,98
1,NORMA-20780,99
1,NORMA-20039,100
1,NORMA-19954,101
1,NORMA-19762,102
1,NORMA-1173,103
1,NORMA-19572,104
1,NORMA-7279,105
1,NORMA-19766,106
1,NORMA-19921,107
1,NORMA-20705,108
1,NORMA-20091,109
1,NORMA-20245,110
1,NORMA-21019,111
1,NORMA-21568,112
1,NORMA-19608,113
1,NORMA-21432,114
1,NORMA-21357,115
1,NORMA-20029,116
1,NORMA-20957,117
1,NORMA-20616,118
1,NORMA-21508,119
1,NORMA-18344,120
1,NORMA-20615,121
1,NORMA-21779,122
1,NORMA-21321,123
1,NORMA-21156,124
1,NORMA-20805,125
1,NORMA-20176,126
1,NORMA-913,127
1,NORMA-20114,128
1,NORMA-19910,129
1,NORMA-20760,130
1,NORMA-20578,131
1,NORMA-19751,132
1,NORMA-20573,133
1,NORMA-19945,134
1,NORMA-19564,135
1,NORMA-20688,136
1,NORMA-19905,137
1,NORMA-18938,138
1,NORMA-20559,139
1,NORMA-21394,140
1,NORMA-20621,141
1,NORMA-19822,142
1,NORMA-20589,143
1,NORMA-19468,144
1,NORMA-21208,145
1,NORMA-20202,146
1,NORMA-21264,147
1,NORMA-20871,148
1,NORMA-20654,149
1,NORMA-20431,150
1,NORMA-19853,151
1,NORMA-21446,152
1,NORMA-20034,153
1,NORMA-18931,154
1,NORMA-18338,155
1,NORMA-20185,156
1,NORMA-19591,157
1,NORMA-20109,158
1,NORMA-20068,159
1,NORMA-20525,160
1,NORMA-20733,161
1,NORMA-18934,162
1,NORMA-20082,163
1,NORMA-21364,164
1,NORMA-20682,165
1,NORMA-20246,166
1,NORMA-21475,167
1,NORMA-19969,168
1,NORMA-20251,169
1,NORMA-2126,170
1,NORMA-19841,171
1,NORMA-20071,172
1,NORMA-20279,173
1,NORMA-20317,174
1,NORMA-6185,175
1,NORMA-19750,176
1,NORMA-21215,177
1,NORMA-20571,178
1,NORMA-21214,179
1,NORMA-21169,180
1,NORMA-19597,181
1,NORMA-20910,182
1,NORMA-19893,183
1,NORMA-20860,184
1,NORMA-20556,185
1,NORMA-20175,186
1,NORMA-20842,187
1,NORMA-20684,188
1,NORMA-20042,189
1,NORMA-18947,190
1,NORMA-18804,191
1,NORMA-27521,192
1,NORMA-20755,193
1,NORMA-480,194
1,NORMA-19950,195
1,NORMA-19598,196
1,NORMA-19898,197
1,NORMA-20526,198
1,NORMA-20594,199
1,NORMA-19711,200
1,NORMA-19800,201
1,NORMA-19638,202
1,NORMA-20515,203
1,NORMA-15581,204
1,NORMA-20824,205
1,NORMA-21439,206
1,NORMA-21790,207
1,NORMA-19580,208
1,NORMA-21228,209
1,NORMA-20849,210
1,NORMA-19803,211
1,NORMA-20732,212
1,NORMA-18536,213
1,NORMA-18553,214
1,NORMA-19952,215
1,NORMA-20235,216
1,NORMA-19956,217
1,NORMA-20841,218
1,NORMA-19593,219
1,NORMA-21757,220
1,NORMA-19849,221
1,NORMA-18937,222
1,NORMA-20640,223
1,NORMA-20169,224
1,NORMA-1154,225
1,NORMA-21656,226
1,NORMA-18409,227
1,NORMA-7280,228
1,NORMA-19904,229
1,NORMA-20236,230
1,NORMA-21217,231
1,NORMA-19379,232
1,NORMA-20568,233
1,NORMA-21175,234
1,NORMA-20786,235
1,NORMA-19630,236
1,NORMA-21069,237
1,NORMA-20832,238
1,NORMA-18265,239
1,NORMA-1295,240
1,NORMA-20809,241
1,NORMA-229,242
1,NORMA-20620,243
1,NORMA-6249,244
1,NORMA-19175,245
1,NORMA-18462,246
1,NORMA-21209,247
1,NORMA-20803,248
1,NORMA-21324,249
1,NORMA-20157,250
1,NORMA-21099,251
1,NORMA-19104,252
1,NORMA-18935,253
1,NORMA-19789,254
1,NORMA-20631,255
1,NORMA-20658,256
1,NORMA-20706,257
1,NORMA-18429,258
1,NORMA-943,259
1,NORMA-20089,260
1,NORMA-20756,261
1,NORMA-20971,262
1,NORMA-20116,263
1,NORMA-18916,264
1,NORMA-21255,265
1,NORMA-21359,266
1,NORMA-19259,267
1,NORMA-19844,268
1,NORMA-20278,269
1,NORMA-20247,270
1,NORMA-21188,271
1,NORMA-18926,272
1,NORMA-20203,273
1,NORMA-19967,274
