QUERY_KEY,DOC_KEY,RANK
1,NORMA-19903,1
1,NORMA-19747,2
1,NORMA-19613,3
1,NORMA-19876,4
1,NORMA-19594,5
1,NORMA-18546,6
1,NORMA-18892,7
1,NORMA-19568,8
1,NORMA-20127,9
1,NORMA-20253,10
1,NORMA-18891,11
1,NORMA-19980,12
1,NORMA-18943,13
1,NORMA-20214,14
1,NORMA-19604,15
1,NORMA-20053,16
1,NORMA-20871,17
1,NORMA-19764,18
1,NORMA-19953,19
1,NORMA-20064,20
1,NORMA-20561,21
1,NORMA-18894,22
1,NORMA-18936,23
1,NORMA-20957,24
1,NORMA-20156,25
1,NORMA-18913,26
1,NORMA-19793,27
1,NORMA-19178,28
1,NORMA-19767,29
1,NORMA-20241,30
1,NORMA-20066,31
1,NORMA-19965,32
1,NORMA-19978,33
1,NORMA-20571,34
1,NORMA-20705,35
1,NORMA-20257,36
1,NORMA-18908,37
1,NORMA-20721,38
1,NORMA-19819,39
1,NORMA-18885,40
1,NORMA-18911,41
1,NORMA-20615,42
1,NORMA-20425,43
1,NORMA-20808,44
1,NORMA-20755,45
1,NORMA-19740,46
1,NORMA-20677,47
1,NORMA-20145,48
1,NORMA-21562,49
1,NORMA-18536,50
1,NORMA-20039,51
1,NORMA-20070,52
1,NORMA-21621,53
1,NORMA-19601,54
1,NORMA-19945,55
1,NORMA-20238,56
1,NORMA-20594,57
1,NORMA-21105,58
1,NORMA-21029,59
1,NORMA-20828,60
1,NORMA-20512,61
1,NORMA-20934,62
1,NORMA-20535,63
1,NORMA-2184,64
1,NORMA-20091,65
1,NORMA-18858,66
1,NORMA-19578,67
1,NORMA-20818,68
1,NORMA-20567,69
1,NORMA-20599,70
1,NORMA-20265,71
1,NORMA-20939,72
1,NORMA-20604,73
1,NORMA-21107,74
1,NORMA-19803,75
1,NORMA-19766,76
1,NORMA-19929,77
1,NORMA-20239,78
1,NORMA-21432,79
1,NORMA-19572,80
1,NORMA-20175,81
1,NORMA-20085,82
1,NORMA-18750,83
1,NORMA-19582,84
1,NORMA-20065,85
1,NORMA-20279,86
1,NORMA-20246,87
1,NORMA-20623,88
1,NORMA-19564,89
